SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0517    2373,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2004/01/23 00:00:00+00,0,U,2003,,2006,1,743,217,85,2023/10/10 05:16:33+00,21263737
0517    2374,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,743,217,85,2023/10/10 05:16:33+00,21263738
0517    2375,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,539,217,65,2023/10/10 05:16:33+00,21263739
0517    2376,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,1157,217,136,2023/10/10 05:16:33+00,21263740
0517    2377,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,1008,217,119,2023/10/10 05:16:33+00,21263741
0517    2378,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,786,217,89,2023/10/10 05:16:33+00,21263742
0517    2379,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,570,217,62,2023/10/10 05:16:33+00,21263743
0517    2380,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,570,217,62,2023/10/10 05:16:33+00,21263744
0517    2381,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,786,217,89,2023/10/10 05:16:33+00,21263745
0517    2382,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/10/31 00:00:00+00,0,U,2003,,2006,1,1132,217,135,2023/10/10 05:16:33+00,21263746
0517    2383,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/11/03 00:00:00+00,0,U,2003,,2006,1,594,217,70,2023/10/10 05:16:33+00,21263747
0517    2384,1,1,B,Reinf Concr,60,Excellent,BV,Brick Veneer,8,1,2003/11/03 00:00:00+00,0,U,2003,,2006,1,739,217,86,2023/10/10 05:16:33+00,21263748
