SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
1786    0810,1,1,C,Brick/Concr,20,Fair,C,Concrete,16,,2009/06/16 00:00:00+00,54100380,U,1936,,1970,1,1692,65,8296,2023/10/10 05:16:33+00,21268746
1789    0802,1,1,A,Struct Steel,50,Very Good,BR,Brick,16,,2006/09/29 00:00:00+00,0,U,1990,,1996,2,221735,69,61779,2023/10/10 05:16:33+00,21268747
1789    0803,1,1,C,Brick/Concr,40,Good,BR,Brick,14,,2006/09/29 00:00:00+00,0,U,1972,2021,1995,2,4016,68,8545,2023/10/10 05:16:33+00,21268748
1798    0028,1,1,A,Struct Steel,30,Average,S,Stone,25,0,1900/01/01 00:00:00+00,,U,0,,1998,1,95168,81,96564,2023/10/10 05:16:33+00,21268749
1802    0024,1,1,B,Reinf Concr,30,Average,BV,Brick Veneer,9,441,1998/01/15 00:00:00+00,0,U,1957,,1962,2,820790,29,267427,2023/10/10 05:16:33+00,21268750
1802    0815,1,1,B,Reinf Concr,40,Good,BV,Brick Veneer,9,204,2012/03/23 00:00:00+00,3600000,U,1950,,1967,1,140686,22,19842,2023/10/10 05:16:33+00,21268751
1802    0823,1,1,0,No Data,40,Good,WS,Wood Siding,8,145,1993/12/20 00:00:00+00,0,U,1962,,1962,1,195417,27,94077,2023/10/10 05:16:33+00,21268752
1805    0800,1,1,0,No Data,30,Average,WS,Wood Siding,8,514,1900/01/01 00:00:00+00,,U,1931,1960,1900,1,650346,127,455664,2023/10/10 05:16:33+00,21268753
1805    0800,2,1,0,No Data,0,Default,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1930,,1930,1,167018,127,455664,2023/10/10 05:16:33+00,21268754
1805    0800,3,1,0,No Data,0,Default,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1930,,1930,1,167415,127,455664,2023/10/10 05:16:33+00,21268755
1805    0802,1,1,0,No Data,40,Good,WS,Wood Siding,8,150,1900/01/01 00:00:00+00,,U,1960,,1960,1,131400,27,223829,2023/10/10 05:16:33+00,21268756
1805    0802,2,1,0,No Data,0,Default,0,Typical,12,,1900/01/01 00:00:00+00,,U,1960,,1960,1,131400,27,223829,2023/10/10 05:16:33+00,21268757
1807    0025,1,1,4,2 Story,40,Good,BR,Brick,10,6,2004/06/15 00:00:00+00,1090000,Q,1938,2006,1985,1,3500,21,6859,2023/10/10 05:16:33+00,21268758
1807    0042,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,17,2013/03/01 00:00:00+00,43899045,U,1939,,1988,1,18420,21,15096,2023/10/10 05:16:33+00,21268759
1807    0043,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,26,2013/03/01 00:00:00+00,43899045,U,1939,,1988,1,25080,21,14507,2023/10/10 05:16:33+00,21268760
1807    0800,1,1,C,Brick/Concr,40,Good,BR,Brick,9,15,1900/01/01 00:00:00+00,,U,1939,,1985,1,10662,21,7419,2023/10/10 05:16:33+00,21268761
1808    0801,1,1,C,Brick/Concr,40,Good,BR,Brick,10,0,1900/01/01 00:00:00+00,,U,1950,,1979,1,16740,83,283818,2023/10/10 05:16:33+00,21268762
1809    0018,1,1,C,Brick/Concr,20,Fair,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1968,,1975,1,26687,22,23989,2023/10/10 05:16:33+00,21268763
1810    0208,1,1,C,Brick/Concr,30,Average,BR,Brick,10,5,1900/01/01 00:00:00+00,,U,1936,,1960,1,4960,25,4975,2023/10/10 05:16:33+00,21268764
1815    0101,1,1,B,Reinf Concr,55,Very Good +,BR,Brick,20,,1900/01/01 00:00:00+00,,U,0,,1985,1,44003,81,99151,2023/10/10 05:16:33+00,21268765
1815    0101,2,1,0,No Data,0,Default,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1975,,1975,1,11022,81,99151,2023/10/10 05:16:33+00,21268766
1816    0045,1,1,,,40,Good,,,,1,2013/05/16 00:00:00+00,2000000,Q,2005,,2005,2,8514,81,8981,2023/10/10 05:16:33+00,21268767
1816    0824,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,0,2013/07/08 00:00:00+00,0,U,1965,,2000,1,19088,81,35482,2023/10/10 05:16:33+00,21268768
1817    0822,1,1,C,Brick/Concr,30,Average,BR,Brick,9,8,2019/03/20 00:00:00+00,0,U,1910,,1980,2,6297,28,16569,2023/10/10 05:16:33+00,21268769
1818    0849,1,1,C,Brick/Concr,30,Average,0,Typical,8,0,1900/01/01 00:00:00+00,,U,0,,1971,1,33888,89,200965,2023/10/10 05:16:33+00,21268770
1819    0804,1,1,B,Reinf Concr,40,Good,BV,Brick Veneer,10,,2021/10/13 00:00:00+00,165989461,U,1987,,1991,4,60234,52,10613,2023/10/10 05:16:33+00,21268771
1819    2261,1,1,,,,,,,,,2021/10/13 00:00:00+00,165989461,U,2006,,2006,3,7837,48,5651,2023/10/10 05:16:33+00,21268772
1819    2262,1,1,,,,,,,,,2021/10/13 00:00:00+00,165989461,U,2006,,2006,3,5892,48,4265,2023/10/10 05:16:33+00,21268773
1823    0802,1,1,B,Reinf Concr,50,Very Good,,,10,,1900/01/01 00:00:00+00,0,U,1988,,1993,1,697573,22,124992,2023/10/10 05:16:33+00,21268774
1823    7003,1,1,B,Reinf Concr,30,Average,BR,Brick,13,0,1900/01/01 00:00:00+00,0,U,1958,1989,1941,1,156672,52,0,2023/10/10 05:16:33+00,21268775
1823    7007,1,1,HR,High Rise,50,Very Good,BR,Brick,13,690,1900/01/01 00:00:00+00,0,U,2022,,2022,1,795214,22,0,2023/10/10 05:16:33+00,21268776
1825    0800,1,1,C,Brick/Concr,30,Average,BR,Brick,8,1,2016/11/30 00:00:00+00,8200000,U,1948,1993,1967,2,59407,52,27776,2023/10/10 05:16:33+00,21268777
1825    0816,1,1,C,Brick/Concr,40,Good,S,Stone,8,0,1900/01/01 00:00:00+00,,U,1970,,1990,1,17326,83,670783,2023/10/10 05:16:33+00,21268778
1825    0816,2,1,0,No Data,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1940,,1990,1,10152,83,670783,2023/10/10 05:16:33+00,21268779
1825    0816,3,1,0,No Data,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1940,,1990,1,4896,83,670783,2023/10/10 05:16:33+00,21268780
1825    0816,4,1,0,No Data,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1964,,1990,1,49928,83,670783,2023/10/10 05:16:33+00,21268781
1825    0816,5,1,0,No Data,40,Good,S,Stone,12,,1900/01/01 00:00:00+00,,U,1824,,1990,1,16280,83,670783,2023/10/10 05:16:33+00,21268782
1825    0816,6,1,0,No Data,40,Good,S,Stone,12,,1900/01/01 00:00:00+00,,U,1924,,1990,1,3560,83,670783,2023/10/10 05:16:33+00,21268783
1825    0817,1,1,C,Brick/Concr,40,Good,BR,Brick,15,0,1900/01/01 00:00:00+00,,U,1975,,1980,1,25120,84,102562,2023/10/10 05:16:33+00,21268784
1825    0818,1,1,C,Brick/Concr,40,Good,BV,Brick Veneer,8,0,2016/12/15 00:00:00+00,30000000,Q,1924,,1900,2,112905,82,248372,2023/10/10 05:16:33+00,21268785
1829    0055,1,1,C,Brick/Concr,30,Average,BR,Brick,8,73,2000/04/18 00:00:00+00,1000000,U,1928,,1965,1,55896,22,14911,2023/10/10 05:16:33+00,21268786
1829    0056,1,1,C,Brick/Concr,35,Average +,BR,Brick,10,55,2017/08/15 00:00:00+00,5750000,U,1928,2006,1985,2,50554,22,14294,2023/10/10 05:16:33+00,21268787
1831    0037,1,1,B,Reinf Concr,40,Good,C,Concrete,8,1,1999/02/12 00:00:00+00,0,U,1986,,1992,1,96849,52,23192,2023/10/10 05:16:33+00,21268788
1858    0051,1,1,B,Reinf Concr,30,Average,BR,Brick,8,72,2022/06/23 00:00:00+00,16530075,Q,1963,,1965,4,71469,22,28043,2023/10/10 05:16:33+00,21268789
1858    0057,1,1,C,Brick/Concr,30,Average,BR,Brick,9,23,2016/08/15 00:00:00+00,39758065,U,1962,,1988,2,20898,22,6758,2023/10/10 05:16:33+00,21268790
1858    0058,1,1,C,Brick/Concr,30,Average,BR,Brick,8,108,2016/08/15 00:00:00+00,39758065,U,1929,1976,1970,2,119242,22,22324,2023/10/10 05:16:33+00,21268791
1859    0034,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2021/12/14 00:00:00+00,0,U,1923,,1995,3,1976,68,6048,2023/10/10 05:16:33+00,21268792
1859    0054,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2009/10/08 00:00:00+00,0,U,1930,,1985,1,8984,42,6822,2023/10/10 05:16:33+00,21268793
1859    0074,1,1,C,Brick/Concr,60,Excellent,BR,Brick,12,,2005/09/19 00:00:00+00,3350000,U,1925,2007,2005,1,14036,44,7000,2023/10/10 05:16:33+00,21268794
1859    0086,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2014/05/12 00:00:00+00,0,U,1925,,1998,2,22147,42,9531,2023/10/10 05:16:33+00,21268795
1859    0087,1,1,C,Brick/Concr,50,Very Good,CB,Concrete Block,8,0,2014/05/12 00:00:00+00,0,U,1927,,1995,2,5532,41,7305,2023/10/10 05:16:33+00,21268796
1859    0093,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2017/09/05 00:00:00+00,0,U,1927,2018,2000,4,9752,41,7413,2023/10/10 05:16:33+00,21268797
1859    0094,1,1,C,Brick/Concr,45,Good +,BV,Brick Veneer,12,,2007/02/09 00:00:00+00,0,U,1927,2008,1995,1,6865,41,2848,2023/10/10 05:16:33+00,21268798
1859    0095,1,1,C,Brick/Concr,30,Average,BR,Brick,18,,2005/05/17 00:00:00+00,2335770,U,1927,2007,1980,1,12922,61,30348,2023/10/10 05:16:33+00,21268799
1859    0801,1,1,C,Brick/Concr,35,Average +,BR,Brick,12,,1900/01/01 00:00:00+00,0,U,1920,2017,2007,1,6663,45,3500,2023/10/10 05:16:33+00,21268800
1859    0802,1,1,C,Brick/Concr,45,Good +,BR,Brick,12,,2011/07/21 00:00:00+00,0,U,1937,2008,2000,1,6580,42,3500,2023/10/10 05:16:33+00,21268801
1859    0804,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2014/05/12 00:00:00+00,0,U,1925,,2000,2,4212,42,3500,2023/10/10 05:16:33+00,21268802
1859    0805,1,1,C,Brick/Concr,45,Good +,BR,Brick,10,,2018/03/13 00:00:00+00,2150000,Q,1924,,1998,2,5041,42,3500,2023/10/10 05:16:33+00,21268803
1859    0808,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,1997/10/21 00:00:00+00,0,U,1943,,2000,1,14072,41,7000,2023/10/10 05:16:33+00,21268804
1860    0001,1,1,C,Brick/Concr,45,Good +,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1914,,1998,1,11557,41,6913,2023/10/10 05:16:33+00,21268805
1860    0012,1,1,C,Brick/Concr,50,Very Good,BR,Brick,18,,2021/11/23 00:00:00+00,6400000,Q,1970,,1996,5,9932,61,7000,2023/10/10 05:16:33+00,21268806
1860    0013,1,1,C,Brick/Concr,50,Very Good,C,Concrete,16,,2001/01/01 00:00:00+00,0,U,1937,,1987,1,12207,41,7000,2023/10/10 05:16:33+00,21268807
1860    0015,1,1,C,Brick/Concr,45,Good +,BR,Brick,16,,2006/07/14 00:00:00+00,3500000,U,1922,2002,1990,1,14969,66,7000,2023/10/10 05:16:33+00,21268808
1860    0022,1,1,C,Brick/Concr,50,Very Good,BR,Brick,18,,2016/11/08 00:00:00+00,5150000,Q,1956,,2010,2,10920,61,13831,2023/10/10 05:16:33+00,21268809
1860    0023,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2019/01/15 00:00:00+00,350000,U,1920,,1990,3,800,41,1415,2023/10/10 05:16:33+00,21268810
1860    0024,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,18,,1900/01/01 00:00:00+00,0,U,1957,,2007,1,11226,42,17433,2023/10/10 05:16:33+00,21268811
1860    0024,2,1,0,No Data,0,Default,BR,Brick,17,,1900/01/01 00:00:00+00,0,U,1954,,1954,1,3131,42,17433,2023/10/10 05:16:33+00,21268812
1860    0801,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1922,,2001,1,6701,42,3500,2023/10/10 05:16:33+00,21268813
1860    0811,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,2022/02/22 00:00:00+00,1800000,Q,1929,,1990,3,2826,42,3695,2023/10/10 05:16:33+00,21268814
1860    0811,2,1,0,No Data,0,Default,BR,Brick,16,,2022/02/22 00:00:00+00,1800000,Q,1929,,1929,3,2214,42,3695,2023/10/10 05:16:33+00,21268815
1860    0812,1,1,C,Brick/Concr,45,Good +,BR,Brick,10,,2002/05/13 00:00:00+00,415000,U,1900,,1990,1,1436,41,1591,2023/10/10 05:16:33+00,21268816
1860    0814,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2004/10/14 00:00:00+00,1500000,U,1941,2005,2001,1,4293,42,2798,2023/10/10 05:16:33+00,21268817
1860    0816,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,12,,2021/03/22 00:00:00+00,0,U,1924,,1998,2,3436,41,2334,2023/10/10 05:16:33+00,21268818
1860    0818,1,1,C,Brick/Concr,20,Fair,BR,Brick,12,,2014/05/06 00:00:00+00,0,U,1929,,1990,2,800,41,1367,2023/10/10 05:16:33+00,21268819
1860    0819,1,1,C,Brick/Concr,20,Fair,BR,Brick,12,,2022/05/03 00:00:00+00,0,U,1929,,1990,2,920,41,1331,2023/10/10 05:16:33+00,21268820
1920N   2082,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,818,217,68,2023/10/10 05:16:33+00,21268821
1920N   2083,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,1032,217,85,2023/10/10 05:16:33+00,21268822
1920N   2084,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,484,217,40,2023/10/10 05:16:33+00,21268823
1920N   2085,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268824
1920N   2086,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268825
1920N   2087,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268826
1920N   2088,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268827
1920N   2089,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,679,217,56,2023/10/10 05:16:33+00,21268828
1920N   2090,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268829
1920N   2091,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,595,217,49,2023/10/10 05:16:33+00,21268830
1920N   2092,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,484,217,40,2023/10/10 05:16:33+00,21268831
1920N   2093,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,642,217,53,2023/10/10 05:16:33+00,21268832
1920N   2094,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,818,217,68,2023/10/10 05:16:33+00,21268833
1920N   2095,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,893,217,74,2023/10/10 05:16:33+00,21268834
1920N   2096,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268835
1920N   2097,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,1404,217,116,2023/10/10 05:16:33+00,21268836
1920N   2098,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,1023,217,85,2023/10/10 05:16:33+00,21268837
1920N   2099,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,1125,217,93,2023/10/10 05:16:33+00,21268838
1920N   2100,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,632,217,52,2023/10/10 05:16:33+00,21268839
1920N   2101,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,679,217,56,2023/10/10 05:16:33+00,21268840
1920N   2102,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,595,217,49,2023/10/10 05:16:33+00,21268841
1920N   2103,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,558,217,46,2023/10/10 05:16:33+00,21268842
1920N   2104,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,725,217,60,2023/10/10 05:16:33+00,21268843
1920N   2105,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,428,217,35,2023/10/10 05:16:33+00,21268844
1920N   2106,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,642,217,53,2023/10/10 05:16:33+00,21268845
1920N   2107,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,911,217,75,2023/10/10 05:16:33+00,21268846
1920N   2108,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,856,217,71,2023/10/10 05:16:33+00,21268847
1920N   2109,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,679,217,56,2023/10/10 05:16:33+00,21268848
1920N   2110,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,1153,217,96,2023/10/10 05:16:33+00,21268849
1920N   2111,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,586,217,49,2023/10/10 05:16:33+00,21268850
1920N   2112,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,446,217,37,2023/10/10 05:16:33+00,21268851
1920N   2113,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,660,217,55,2023/10/10 05:16:33+00,21268852
1920N   2114,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,781,217,65,2023/10/10 05:16:33+00,21268853
1920N   2115,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,1032,217,85,2023/10/10 05:16:33+00,21268854
1920N   2116,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268855
1920N   2117,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268856
1920N   2118,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268857
1920N   2119,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268858
1920N   2120,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,679,217,56,2023/10/10 05:16:33+00,21268859
1920N   2121,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268860
1920N   2122,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,595,217,49,2023/10/10 05:16:33+00,21268861
1920N   2123,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,642,217,53,2023/10/10 05:16:33+00,21268862
1920N   2124,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,781,217,65,2023/10/10 05:16:33+00,21268863
1920N   2125,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,893,217,74,2023/10/10 05:16:33+00,21268864
1920N   2126,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,688,217,57,2023/10/10 05:16:33+00,21268865
1920N   2127,1,1,0,No Data,0,Default,0,Typical,,1,1900/01/01 00:00:00+00,0,U,2017,,2017,1,1367,217,113,2023/10/10 05:16:33+00,21268866
1921    0009,1,1,C,Brick/Concr,40,Good,BR,Brick,9,14,2017/04/10 00:00:00+00,0,U,1926,,1985,3,9659,21,4272,2023/10/10 05:16:33+00,21268867
1921    0026,1,1,C,Brick/Concr,30,Average,BR,Brick,9,72,2022/09/28 00:00:00+00,22400000,U,1957,2014,1997,4,65684,22,4320,2023/10/10 05:16:33+00,21268868
1922    0017,1,1,C,Brick/Concr,45,Good +,WS,Wood Siding,10,0,1900/01/01 00:00:00+00,,U,1959,,1994,1,73346,83,78047,2023/10/10 05:16:33+00,21268869
1923    0054,1,1,C,Brick/Concr,45,Good +,BR,Brick,9,72,2013/11/22 00:00:00+00,0,U,1927,2015,1978,1,66144,22,21512,2023/10/10 05:16:33+00,21268870
1923    0064,1,1,B,Reinf Concr,50,Very Good,BV,Brick Veneer,9,127,2010/04/29 00:00:00+00,0,U,1950,,1960,1,105499,22,16830,2023/10/10 05:16:33+00,21268871
1923    0812,1,1,C,Brick/Concr,45,Good +,BR,Brick,9,19,2019/09/17 00:00:00+00,0,U,1925,,1980,3,13287,21,8543,2023/10/10 05:16:33+00,21268872
1923    0815,1,1,0,No Data,30,Average,WS,Wood Siding,8,32,1900/01/01 00:00:00+00,,U,1964,,1964,1,33300,27,8498,2023/10/10 05:16:33+00,21268873
1923    0833,1,1,B,Reinf Concr,30,Average,BV,Brick Veneer,9,207,2012/12/27 00:00:00+00,429000,U,1942,,1960,1,187455,22,33842,2023/10/10 05:16:33+00,21268874
1929    0014,1,1,B,Reinf Concr,55,Very Good +,BV,Brick Veneer,9,229,1999/08/09 00:00:00+00,0,U,1928,2001,1987,1,345169,22,68753,2023/10/10 05:16:33+00,21268875
1930    0077,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,9,107,2009/03/31 00:00:00+00,7000000,U,1964,,1985,1,63438,22,17270,2023/10/10 05:16:33+00,21268876
1931    0030,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1960,2008,2002,1,21520,81,23907,2023/10/10 05:16:33+00,21268877
1932    0001,1,1,C,Brick/Concr,40,Good,BR,Brick,9,92,1900/01/01 00:00:00+00,,U,1942,,1985,1,55355,22,6892,2023/10/10 05:16:33+00,21268878
1932    0034,1,1,0,No Data,30,Average,WS,Wood Siding,8,49,1900/01/01 00:00:00+00,,U,1940,,1940,1,41056,27,4318,2023/10/10 05:16:33+00,21268879
1932    0053,1,1,C,Brick/Concr,30,Average,BR,Brick,9,17,2018/01/11 00:00:00+00,0,U,1924,1961,1980,3,15186,21,8635,2023/10/10 05:16:33+00,21268880
1932    0806,1,1,A,Struct Steel,30,Average,BV,Brick Veneer,9,108,2009/03/19 00:00:00+00,0,U,1957,,1972,1,113689,22,12954,2023/10/10 05:16:33+00,21268881
1932    0810,1,1,C,Brick/Concr,30,Average,BR,Brick,9,71,2010/04/23 00:00:00+00,0,U,1939,,1977,1,69522,22,14838,2023/10/10 05:16:33+00,21268882
1932    0813,1,1,C,Brick/Concr,30,Average,,,,79,2014/03/25 00:00:00+00,0,U,1943,,1970,1,50880,22,11514,2023/10/10 05:16:33+00,21268883
1933    0027,1,1,C,Brick/Concr,15,Poor +,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1962,,1960,1,1742,84,5517,2023/10/10 05:16:33+00,21268884
1935    0045,1,1,A,Struct Steel,30,Average,BV,Brick Veneer,10,150,2021/07/13 00:00:00+00,37051792,U,1971,,1981,3,138253,32,23158,2023/10/10 05:16:33+00,21268885
1935    0818,1,1,C,Brick/Concr,30,Average,BR,Brick,15,,1900/01/01 00:00:00+00,,U,1955,,1963,1,26968,81,47732,2023/10/10 05:16:33+00,21268886
1938    0034,1,1,C,Brick/Concr,35,Average +,C,Concrete,20,,1900/01/01 00:00:00+00,,U,1937,,1990,1,5752,81,8308,2023/10/10 05:16:33+00,21268887
1938    0813,1,1,C,Brick/Concr,45,Good +,BR,Brick,8,0,1900/01/01 00:00:00+00,,U,1754,,1985,1,9116,81,18621,2023/10/10 05:16:33+00,21268888
1939    0039,1,1,B,Reinf Concr,20,Fair,S,Stone,12,,1900/01/01 00:00:00+00,,U,1935,,1970,1,46908,85,36566,2023/10/10 05:16:33+00,21268889
1939    0042,1,1,C,Brick/Concr,60,Excellent,S,Stone,16,,2005/04/05 00:00:00+00,1965000,Q,2008,,2008,1,22970,81,11485,2023/10/10 05:16:33+00,21268890
1941    0039,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1900,,1995,1,4350,85,5500,2023/10/10 05:16:33+00,21268891
1942    0033,1,1,C,Brick/Concr,60,Excellent,BR,Brick,20,,2003/01/16 00:00:00+00,0,U,0,,1985,1,19844,81,95553,2023/10/10 05:16:33+00,21268892
1942    0802,1,1,C,Brick/Concr,60,Excellent,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1925,2003,2003,1,7862,85,10810,2023/10/10 05:16:33+00,21268893
1944    0025,1,1,C,Brick/Concr,35,Average +,S,Stone,30,,1900/01/01 00:00:00+00,,U,0,,1998,1,553914,81,2435322,2023/10/10 05:16:33+00,21268894
1944    0026,1,1,C,Brick/Concr,60,Excellent,S,Stone,30,,1900/01/01 00:00:00+00,,U,1854,,1990,1,9125,81,41086,2023/10/10 05:16:33+00,21268895
1944    0026,2,1,0,No Data,0,Default,CB,Concrete Block,10,,1900/01/01 00:00:00+00,,U,1913,,1924,1,14748,81,41086,2023/10/10 05:16:33+00,21268896
1944    0026,3,1,0,No Data,0,Default,SU,Stucco,24,,1900/01/01 00:00:00+00,,U,1912,,1924,1,1923,81,41086,2023/10/10 05:16:33+00,21268897
1944    0026,4,1,0,No Data,0,Default,S,Stone,11,,1900/01/01 00:00:00+00,,U,1900,,1924,1,63286,81,41086,2023/10/10 05:16:33+00,21268898
1944    0026,5,1,0,No Data,0,Default,S,Stone,12,,1900/01/01 00:00:00+00,,U,1953,,1953,1,28850,81,41086,2023/10/10 05:16:33+00,21268899
1944    0026,6,1,0,No Data,0,Default,BR,Brick,12,,1900/01/01 00:00:00+00,,U,1927,,1927,1,5994,81,41086,2023/10/10 05:16:33+00,21268900
